brand,description,pricecurrency,price,title,collection_name,collection_url,url,images_dir,s3_dir,manufacturer,country_of_origin,imported_by,weight,generic_name,unit_of_measurement,marketed_by,article_code,product_dimensions
Nike,"- Nike Huarache Run GS ""Jade Ice""- Colour: Green / Pink / White- Stijlcode: 654275-305",EUR,89.95,Huarache Run GS Jade Ice,category-kids,https://www.sneakerbaas.com/collections/sneakers/category-kids,https://www.sneakerbaas.com/collections/sneakers/products/huarache-run-gs-jade-ice,data/raw/sneakerbaas/category-kids/images/nike/huarache run gs jade ice,s3://sneakers-ml/data/raw/sneakerbaas/category-kids/images/nike/huarache run gs jade ice,,,,,,,,,
New Balance,- New Balance GSB550BB ''Black''- Colour: Black / Grey- Stijlcode: GSB550BB,EUR,109.95,550 BLACK,category-kids,https://www.sneakerbaas.com/collections/sneakers/category-kids,https://www.sneakerbaas.com/collections/sneakers/products/550-black,data/raw/sneakerbaas/category-kids/images/new balance/550 black,s3://sneakers-ml/data/raw/sneakerbaas/category-kids/images/new balance/550 black,,,,,,,,,
adidas Originals,"- adidas Hello Kitty Superstar ""ftwr white""- Colour: White/Red- Stijlcode: GV8865",EUR,34.99,Hello Kitty Superstar White,category-kids,https://www.sneakerbaas.com/collections/sneakers/category-kids,https://www.sneakerbaas.com/collections/sneakers/products/hello-kitty-superstar-ftwr-white,data/raw/sneakerbaas/category-kids/images/adidas originals/hello kitty superstar white,s3://sneakers-ml/data/raw/sneakerbaas/category-kids/images/adidas originals/hello kitty superstar white,,,,,,,,,
Reebok Classics,"- Reebok CLUB C CARDI V2 ""cornflower blue""- Colour: Blue- Stylecode: GX9734",EUR,34.99,CLUB C CARDI Blue,category-kids,https://www.sneakerbaas.com/collections/sneakers/category-kids,https://www.sneakerbaas.com/collections/sneakers/products/club-c-cardi-v2-cornflower-blue,data/raw/sneakerbaas/category-kids/images/reebok classics/club c cardi blue,s3://sneakers-ml/data/raw/sneakerbaas/category-kids/images/reebok classics/club c cardi blue,,,,,,,,,
adidas Originals,"- adidas Originals Hello Kitty Superstar 360 ""vivid red""- Colour: Red/White- Stijlcode: GY9213",EUR,24.99,Hello Kitty red,category-kids,https://www.sneakerbaas.com/collections/sneakers/category-kids,https://www.sneakerbaas.com/collections/sneakers/products/hello-kitty-superstar-360-vivid-red,data/raw/sneakerbaas/category-kids/images/adidas originals/hello kitty red,s3://sneakers-ml/data/raw/sneakerbaas/category-kids/images/adidas originals/hello kitty red,,,,,,,,,
Reebok Classics,"- Reebok Classic CLUB C CARDI V2 ""cornflower blue""- Colour: Blue- Stylecode: GW9312",EUR,49.99,CLUB C CARDI Blue,category-kids,https://www.sneakerbaas.com/collections/sneakers/category-kids,https://www.sneakerbaas.com/collections/sneakers/products/club-c-cardi-v2-cornflower-blue-1,data/raw/sneakerbaas/category-kids/images/reebok classics/club c cardi blue,s3://sneakers-ml/data/raw/sneakerbaas/category-kids/images/reebok classics/club c cardi blue,,,,,,,,,
New Balance,"- New Balance 550 PS ""Lavender""- Colour: White / Grey / Purple- Stijlcode: PSB550WK",EUR,99.95,550 PS Lavender,category-kids,https://www.sneakerbaas.com/collections/sneakers/category-kids,https://www.sneakerbaas.com/collections/sneakers/products/550-white-6,data/raw/sneakerbaas/category-kids/images/new balance/550 ps lavender,s3://sneakers-ml/data/raw/sneakerbaas/category-kids/images/new balance/550 ps lavender,,,,,,,,,
Nike,"- Nike Nike Huarache Run GS ""Dark Obsidian""- Colour: Grey / Black / White- Stijlcode: 654275-423",EUR,99.95,Huarache GS Obsidian,category-kids,https://www.sneakerbaas.com/collections/sneakers/category-kids,https://www.sneakerbaas.com/collections/sneakers/products/nike-huarache-run-gs-dark-obsidian,data/raw/sneakerbaas/category-kids/images/nike/huarache gs obsidian,s3://sneakers-ml/data/raw/sneakerbaas/category-kids/images/nike/huarache gs obsidian,,,,,,,,,
Reebok Classics,"- Reebok Cardi B Club C V2 ""mars red""- Colour: Red- Stylecode: GX9731",EUR,34.99,Cardi B Club C Red,category-kids,https://www.sneakerbaas.com/collections/sneakers/category-kids,https://www.sneakerbaas.com/collections/sneakers/products/cardi-b-club-c-v2-mars-red-1,data/raw/sneakerbaas/category-kids/images/reebok classics/cardi b club c red,s3://sneakers-ml/data/raw/sneakerbaas/category-kids/images/reebok classics/cardi b club c red,,,,,,,,,
Nike,"- Nike Nike Blazer '77 ""Jade Ice""- Colour: White / Pink / Cream- Stijlcode: DZ2900-100",EUR,69.95,Nike Blazer 77 Jade Ice,category-kids,https://www.sneakerbaas.com/collections/sneakers/category-kids,https://www.sneakerbaas.com/collections/sneakers/products/nike-blazer-77-jade-ice,data/raw/sneakerbaas/category-kids/images/nike/nike blazer 77 jade ice,s3://sneakers-ml/data/raw/sneakerbaas/category-kids/images/nike/nike blazer 77 jade ice,,,,,,,,,
