brand,description,pricecurrency,price,title,collection_name,collection_url,url,photos_path,s3_path
puma sportstyle,"- Puma Palermo Lth ""Black""- Colour: Black / White- Stijlcode: 396464-03",EUR,89.95,Palermo Lth Black,category-unisex,https://www.sneakerbaas.com/collections/sneakers/category-unisex,https://www.sneakerbaas.com/collections/sneakers/products/palermo-lth-black,data/sneakerbaas/category-unisex/photos/puma sportstyle/Palermo Lth Black,
etonic,"- Etonic STABLE BASE NEW BLACK ""Black""- Colour: White / Grey / Black- Stijlcode: ETM323602/05",EUR,119.95,Stable Base Black,category-unisex,https://www.sneakerbaas.com/collections/sneakers/category-unisex,https://www.sneakerbaas.com/collections/sneakers/products/stable-base-new-black-black,data/sneakerbaas/category-unisex/photos/etonic/Stable Base Black,
karhu,"- Karhu Legacy 96 ""Polar Night ""- Colour: Black / Blue- Stijlcode: F806056",EUR,139.95,Legacy 96 Polar Night ,category-unisex,https://www.sneakerbaas.com/collections/sneakers/category-unisex,https://www.sneakerbaas.com/collections/sneakers/products/legacy-96-polar-night,data/sneakerbaas/category-unisex/photos/karhu/Legacy 96 Polar Night ,
karhu,"- Karhu Legacy 96 ""Silver Curry""- Colour: Grey / Beige / Purple- Stijlcode: F806058",EUR,139.95,Legacy 96 Silver Curry,category-unisex,https://www.sneakerbaas.com/collections/sneakers/category-unisex,https://www.sneakerbaas.com/collections/sneakers/products/legacy-96-silver-curry,data/sneakerbaas/category-unisex/photos/karhu/Legacy 96 Silver Curry,
etonic,"- Etonic STABLE BASE NEW PINE ""Pine""- Colour: White / Grey / Green- Stijlcode: ETM323602/03",EUR,119.95,Stable Base Pine,category-unisex,https://www.sneakerbaas.com/collections/sneakers/category-unisex,https://www.sneakerbaas.com/collections/sneakers/products/stable-base-new-pine-pine-1,data/sneakerbaas/category-unisex/photos/etonic/Stable Base Pine,
karhu,"- Karhu Legacy 96 ""Iceberg Green / Lily White""- Colour: Green / Blue / White- Stijlcode: F806053",EUR,139.95,Legacy 96 Iceberg Green,category-unisex,https://www.sneakerbaas.com/collections/sneakers/category-unisex,https://www.sneakerbaas.com/collections/sneakers/products/legacy-96-iceberg-green-1,data/sneakerbaas/category-unisex/photos/karhu/Legacy 96 Iceberg Green,
new balance,"- New Balance 1906 Protection Pack ""Black""- Colour: Black- Stijlcode: M1906DF",EUR,179.95,1906 Protection Pack,category-unisex,https://www.sneakerbaas.com/collections/sneakers/category-unisex,https://www.sneakerbaas.com/collections/sneakers/products/1906-protection-pack-black,data/sneakerbaas/category-unisex/photos/new balance/1906 Protection Pack,
karhu,"- Karhu Fusion 2.0 ""Ultimate Grey / Iceberg Green""- Colour: Grey / Green / Blue- Stijlcode: F804152",EUR,149.95,Fusion 2.0 Ultimate Grey,category-unisex,https://www.sneakerbaas.com/collections/sneakers/category-unisex,https://www.sneakerbaas.com/collections/sneakers/products/fusion-2-0-ultimate-grey,data/sneakerbaas/category-unisex/photos/karhu/Fusion 2.0 Ultimate Grey,
karhu,"- Karhu Legacy 96 ""India Ink""- Colour: Blue / Green / Yellow- Stijlcode: F806054",EUR,139.95,Legacy 96 India Ink,category-unisex,https://www.sneakerbaas.com/collections/sneakers/category-unisex,https://www.sneakerbaas.com/collections/sneakers/products/legacy-96-india-ink,data/sneakerbaas/category-unisex/photos/karhu/Legacy 96 India Ink,
new balance,"- New Balance 1906 Protection Pack ""White/Cream""- Colour: White / Cream- Stylecode: M1906DE",EUR,169.95,1906 Protection Pack,category-unisex,https://www.sneakerbaas.com/collections/sneakers/category-unisex,https://www.sneakerbaas.com/collections/sneakers/products/1906-protection-pack-white-cream,data/sneakerbaas/category-unisex/photos/new balance/1906 Protection Pack,
nike,"- Nike Tech Hera ""WHITE/WHITE-BLACK""- Colour: White/Black- Stylecode: FJ9532-101",EUR,89.99,Tech Hera White  Black,category-unisex,https://www.sneakerbaas.com/collections/sneakers/category-unisex,https://www.sneakerbaas.com/collections/sneakers/products/tech-hera-white-white-black-1,data/sneakerbaas/category-unisex/photos/nike/Tech Hera White  Black,
nike,"- Nike Tech Hera ""LT OREWOOD BRN/BLACK-GEODE TEAL-KHAKI""- Colour: Beige / Cream / Green- Stijlcode: FJ9532-110",EUR,89.99,Tech Hera LT Orewood,category-unisex,https://www.sneakerbaas.com/collections/sneakers/category-unisex,https://www.sneakerbaas.com/collections/sneakers/products/tech-hera-lt-orewood-brn-black-geode-teal-khaki,data/sneakerbaas/category-unisex/photos/nike/Tech Hera LT Orewood,
warrior,,EUR,29.99,Suede Rubber Grey,category-unisex,https://www.sneakerbaas.com/collections/sneakers/category-unisex,https://www.sneakerbaas.com/collections/sneakers/products/suede-rubber-grey,data/sneakerbaas/category-unisex/photos/warrior/Suede Rubber Grey,
karhu,"- Karhu Aria 95 ""Stormy Weather""- Colour: Blue / Black / Orange- Stijlcode: F803101",EUR,139.95,Aria 95 Stormy Weather,category-unisex,https://www.sneakerbaas.com/collections/sneakers/category-unisex,https://www.sneakerbaas.com/collections/sneakers/products/aria-95-stormy-weather,data/sneakerbaas/category-unisex/photos/karhu/Aria 95 Stormy Weather,
karhu,"- Karhu Fusion 2.0 ""Silver Red""- Colour: Beige / Grey / Multicolor- Stijlcode: F804158 *These shoes run small, we recommend taking one size larger*",EUR,149.95,Fusion 2.0 Silver Red,category-unisex,https://www.sneakerbaas.com/collections/sneakers/category-unisex,https://www.sneakerbaas.com/collections/sneakers/products/fusion-2-0-silver-red,data/sneakerbaas/category-unisex/photos/karhu/Fusion 2.0 Silver Red,
adidas originals,"- adidas Originals Gazelle Indoor W ""Soft Blue""- Colour: Blue / White- Stijlcode: HQ8717",EUR,129.95,Gazelle Indoor Blue,category-unisex,https://www.sneakerbaas.com/collections/sneakers/category-unisex,https://www.sneakerbaas.com/collections/sneakers/products/gazelle-indoor-w-soft-blue,data/sneakerbaas/category-unisex/photos/adidas originals/Gazelle Indoor Blue,
